,200,220,240,260,280,300,320,340,360,380,400
1,57,22,40,56,6,30,36,4,18,65,40
2,23,69,36,64,64,45,69,28,50,44,19
3,53,56,58,43,31,56,28,11,8,2,56
4,58,61,36,13,65,6,66,49,23,35,22
5,61,28,59,29,60,47,46,39,49,14,15
6,48,7,29,12,23,33,53,44,59,36,25
7,56,10,27,70,2,51,10,65,17,32,2
8,15,32,69,37,14,11,32,19,10,42,35
9,64,63,46,66,10,52,26,15,57,67,4
10,43,63,63,26,7,35,39,63,24,59,53
11,10,70,33,1,53,44,42,51,6,37,49
12,10,16,64,11,15,10,6,43,7,22,14
13,47,7,42,22,46,36,39,25,36,2,35
14,4,64,3,45,44,50,34,16,27,50,38
15,40,64,61,40,45,41,58,48,4,43,56
16,14,46,63,31,66,6,20,48,66,26,59
17,65,50,39,31,56,40,46,2,37,57,1
18,2,55,44,48,32,35,57,38,56,21,15
19,34,11,33,60,25,38,53,43,25,4,20
20,62,44,40,13,67,61,55,48,36,45,22
21,68,30,17,37,41,52,27,59,25,17,11
22,40,6,26,53,17,35,48,26,16,34,61
23,2,13,51,37,67,45,4,30,40,21,61
24,61,62,6,50,39,12,6,59,25,4,2
25,21,62,48,49,30,27,62,55,12,22,48
26,52,53,69,10,6,57,44,43,55,52,23
27,27,65,38,24,33,28,59,40,14,54,56
28,62,2,70,56,27,39,60,23,60,39,33
29,20,11,3,66,39,5,24,44,23,9,62
30,53,37,56,21,58,11,54,17,46,3,10
31,22,33,13,54,18,21,27,44,5,28,18
32,55,65,21,22,31,30,46,15,13,54,19
33,26,60,22,2,23,10,64,4,43,49,15
34,19,6,35,8,37,54,57,15,37,7,12
35,54,63,50,54,21,23,29,5,7,65,31
36,14,25,59,2,58,52,18,40,41,20,40
37,70,53,23,2,23,51,4,42,33,57,57
38,31,63,4,36,2,55,60,15,16,28,25
39,70,61,11,5,42,6,17,32,7,55,41
40,67,57,35,5,55,42,49,50,48,64,29
41,33,23,15,10,46,55,55,44,43,37,44
42,20,66,4,43,59,69,22,15,37,2,5
43,58,60,8,58,33,23,48,59,50,6,11
44,53,61,62,70,68,39,51,34,41,20,30
45,58,66,58,65,19,52,6,45,18,46,40
46,54,27,6,13,57,13,15,2,43,13,19
47,70,35,9,62,55,44,63,44,30,61,4
48,43,65,52,41,32,34,66,3,36,3,40
49,20,55,56,15,23,26,11,8,45,40,17
50,1,16,70,63,43,41,15,8,20,37,30
51,56,61,40,55,2,31,36,46,49,17,20
52,70,23,15,20,2,52,53,5,39,50,54
53,65,49,41,29,51,41,39,62,5,12,20
54,40,41,2,36,23,28,4,63,50,41,28
55,47,60,18,12,5,41,58,59,6,25,13
56,58,67,52,29,64,20,5,58,68,31,50
57,22,49,46,42,60,55,28,9,25,38,34
58,29,36,53,42,47,18,61,64,33,20,22
59,38,14,3,56,45,20,45,59,24,16,53
60,14,26,66,55,57,43,45,35,5,48,52
61,19,26,27,4,30,48,27,30,42,38,46
62,62,59,66,10,62,59,56,42,14,18,53
63,12,13,62,60,17,11,15,11,45,31,28
64,10,25,21,59,38,65,9,67,40,17,47
65,36,53,32,50,17,44,35,13,55,38,17
66,52,20,62,55,33,45,44,3,45,7,29
67,38,43,12,33,33,31,36,33,60,65,37
68,32,7,25,9,51,34,38,49,59,25,4
69,65,4,51,68,61,63,20,4,17,12,13
70,22,64,56,61,23,50,38,47,9,24,61
71,9,11,54,4,66,18,63,53,7,29,54
72,46,15,19,70,67,38,30,25,19,41,40
73,64,59,70,59,59,43,15,28,37,54,51
74,6,4,46,23,35,21,48,24,55,51,12
75,68,5,62,33,3,5,58,59,34,11,42
76,25,53,41,69,25,68,53,46,48,18,34
77,24,18,4,66,65,59,8,28,42,16,16
78,29,31,39,64,66,45,44,30,56,36,23
79,69,10,8,43,5,42,35,27,5,33,8
80,56,63,62,26,52,56,45,30,62,5,39
81,70,65,54,59,18,29,53,48,19,40,43
82,52,7,69,37,19,64,21,47,33,51,57
83,22,41,20,2,5,62,57,48,50,37,52
84,22,27,3,68,3,10,38,52,27,8,44
85,45,16,60,50,70,24,62,45,12,42,15
86,61,33,9,60,58,17,50,56,31,24,30
87,63,38,63,59,44,45,36,7,9,49,19
88,4,43,65,52,26,69,61,9,11,10,28
89,4,23,52,13,16,52,31,50,51,8,38
90,67,66,6,56,42,12,46,2,21,64,9
91,41,59,69,3,29,13,4,33,18,56,43
92,62,20,64,56,43,34,39,35,11,44,69
93,47,44,21,27,9,15,40,54,2,19,6
94,68,47,62,69,38,63,59,36,39,49,43
95,70,35,37,35,22,6,11,64,8,34,60
96,41,68,68,8,32,42,59,45,5,1,2
97,17,41,13,32,19,45,53,68,46,4,47
98,17,67,54,22,67,23,43,21,9,37,19
99,1,41,20,8,35,35,18,14,37,36,9
100,24,29,30,70,55,37,21,16,64,53,16
